scenario_id,mood,energy_level,time_available,time_of_day,occasion,relationship_stage,bonding_level,intimacy_level,couple_only,consent_required,scene_label,recommended_activity_id,recommended_activity,recommended_category,recommendation_probability,expected_engagement
26,happy,very_high,30,afternoon,late_night,new,1,light,false,false,positive_social,3,Trivia Battle,competitive_game,0.10437,0.715
27,low_energy,very_low,10,morning,just_because,just_met,3,light,false,false,gentle_connection,15,Music Mood,watch_together,0.10943,0.715
28,affectionate,medium,45,late_night,anniversary,long_term,2,moderate,true,false,warm_connection,11,Relationship Timeline,memory,0.08212,0.639
29,celebratory,very_high,20,afternoon,special_memory,serious,4,light,false,false,celebration,17,Couple Challenge,challenge,0.06631,0.763
30,playful,high,15,late_night,long_distance,serious,1,light,false,false,playful_social,8,Two Truths and a Lie,question_game,0.06326,0.715
31,low_energy,very_low,5,late_night,rough_day,dating,1,light,false,false,gentle_connection,23,Cozy Conversation,conversation,0.1707,0.787
32,affectionate,very_high,20,afternoon,long_distance,new,3,moderate,true,false,warm_connection,10,Memory Lane,memory,0.0712,0.761
33,playful,high,60,morning,normal_day,long_term,1,light,false,false,playful_social,8,Two Truths and a Lie,question_game,0.13253,0.635
34,erotic,low,10,late_night,reunion,serious,2,very_high,true,true,intimate_connection,10,Memory Lane,memory,0.07571,0.744
35,happy,low,20,morning,long_distance,dating,4,light,false,false,positive_social,10,Memory Lane,memory,0.05785,0.768
36,sensual,very_high,45,late_night,date_night,new,3,high,true,true,sensual_connection,19,Flirty This or That,intimate_activity,0.12787,0.706
37,happy,very_high,45,morning,rough_day,dating,1,light,false,false,positive_social,16,Watch Together,watch_together,0.23186,0.645
38,energetic,very_high,60,afternoon,normal_day,long_term,1,light,false,false,high_energy_fun,16,Watch Together,watch_together,0.14583,0.585
39,playful,very_high,5,afternoon,long_distance,just_met,5,light,false,false,playful_social,1,Rapid Fire,question_game,0.17702,0.715
40,celebratory,very_low,30,morning,long_distance,long_term,5,light,false,false,celebration,16,Watch Together,watch_together,0.07761,0.695
41,deep,low,45,evening,anniversary,dating,4,light,false,false,deep_connection,11,Relationship Timeline,memory,0.14423,0.768
42,low_energy,medium,20,evening,just_because,just_met,1,light,false,false,gentle_connection,16,Watch Together,watch_together,0.12051,0.715
43,celebratory,very_low,5,afternoon,weekend,dating,2,light,false,false,celebration,6,Scribble,creative_game,0.0671,0.645
44,playful,low,15,evening,date_night,serious,5,light,false,false,playful_social,14,Date Planner,date_activity,0.0495,0.755
45,celebratory,very_high,5,evening,just_because,just_met,2,light,false,false,celebration,1,Rapid Fire,question_game,0.25121,0.775
46,playful,very_high,10,evening,birthday,long_term,2,light,false,false,playful_social,17,Couple Challenge,challenge,0.07724,0.799
47,affectionate,medium,30,late_night,birthday,just_met,1,moderate,true,false,warm_connection,5,Connect Four,competitive_game,0.10956,0.66
48,deep,very_low,5,evening,special_memory,new,3,light,false,false,deep_connection,10,Memory Lane,memory,0.11633,0.731
49,energetic,very_high,45,late_night,weekend,just_met,1,light,false,false,high_energy_fun,3,Trivia Battle,competitive_game,0.20622,0.695
50,sensual,low,30,morning,holiday,dating,5,high,true,true,sensual_connection,18,Truth or Dare,romantic_activity,0.08369,0.775
51,relaxed,low,5,evening,valentines,just_met,3,light,false,false,easy_connection,2,This or That,question_game,0.12542,0.715
52,affectionate,very_low,15,late_night,late_night,new,2,moderate,true,false,warm_connection,10,Memory Lane,memory,0.05237,0.739
53,erotic,low,20,morning,date_night,dating,4,very_high,true,true,intimate_connection,18,Truth or Dare,romantic_activity,0.08609,0.823
54,sensual,low,15,afternoon,special_memory,just_met,4,high,true,true,sensual_connection,12,Deep Questions,conversation,0.07716,0.66
55,energetic,low,10,late_night,valentines,dating,2,light,false,false,high_energy_fun,20,Romantic Q&A,intimate_activity,0.05669,0.744
56,low_energy,low,20,evening,birthday,just_met,3,light,false,false,gentle_connection,16,Watch Together,watch_together,0.1065,0.74
57,nostalgic,high,45,evening,normal_day,just_met,3,moderate,true,false,memory_connection,16,Watch Together,watch_together,0.26422,0.61
58,deep,very_low,5,late_night,valentines,dating,4,light,false,false,deep_connection,23,Cozy Conversation,conversation,0.08493,0.763
59,nostalgic,very_low,20,afternoon,birthday,just_met,4,moderate,true,false,memory_connection,3,Trivia Battle,competitive_game,0.09184,0.645
60,erotic,very_high,45,afternoon,valentines,serious,1,very_high,true,true,intimate_connection,21,Compliment Challenge,romantic_activity,0.09478,0.657
61,calm,very_high,15,morning,rough_day,dating,5,light,false,false,calm_connection,15,Music Mood,watch_together,0.06996,0.725
62,relaxed,medium,20,evening,weekend,new,2,light,false,false,easy_connection,24,Date Night Roulette,date_activity,0.06088,0.744
63,relaxed,low,30,evening,long_distance,long_term,1,light,false,false,easy_connection,16,Watch Together,watch_together,0.12734,0.8
64,affectionate,high,60,evening,reunion,serious,4,moderate,true,false,warm_connection,16,Watch Together,watch_together,0.09091,0.61
65,nostalgic,high,60,afternoon,celebration,just_met,3,moderate,true,false,memory_connection,3,Trivia Battle,competitive_game,0.19048,0.64
66,low_energy,very_high,15,morning,holiday,new,3,light,false,false,gentle_connection,14,Date Planner,date_activity,0.05656,0.706
67,affectionate,low,5,morning,anniversary,serious,5,moderate,true,false,warm_connection,23,Cozy Conversation,conversation,0.09099,0.8
68,playful,high,20,afternoon,rough_day,serious,4,light,false,false,playful_social,23,Cozy Conversation,conversation,0.05912,0.718
69,romantic,very_low,60,morning,special_memory,serious,2,moderate,true,false,romantic_connection,10,Memory Lane,memory,0.15642,0.719
70,sensual,very_high,20,morning,weekend,new,1,high,true,true,sensual_connection,17,Couple Challenge,challenge,0.08205,0.707
71,erotic,high,45,evening,special_memory,serious,5,very_high,true,true,intimate_connection,20,Romantic Q&A,intimate_activity,0.09098,0.67
72,nostalgic,high,60,late_night,just_because,new,4,moderate,true,false,memory_connection,16,Watch Together,watch_together,0.10643,0.61
73,erotic,low,60,evening,special_memory,long_term,4,very_high,true,true,intimate_connection,22,Little Moments,memory,0.09926,0.688
74,deep,high,5,evening,anniversary,dating,3,light,false,false,deep_connection,13,Future Plans,conversation,0.08876,0.731
75,nostalgic,very_low,10,afternoon,anniversary,serious,2,moderate,true,false,memory_connection,20,Romantic Q&A,intimate_activity,0.06049,0.799
76,playful,high,20,evening,weekend,serious,4,light,false,false,playful_social,6,Scribble,creative_game,0.07938,0.8
77,relaxed,high,60,morning,holiday,long_term,4,light,false,false,easy_connection,14,Date Planner,date_activity,0.09091,0.663
78,calm,medium,60,late_night,holiday,serious,5,light,false,false,calm_connection,23,Cozy Conversation,conversation,0.07547,0.695
79,nostalgic,very_high,10,late_night,anniversary,dating,4,moderate,true,false,memory_connection,22,Little Moments,memory,0.08736,0.773
80,relaxed,medium,45,late_night,rough_day,new,4,light,false,false,easy_connection,10,Memory Lane,memory,0.09494,0.743
81,celebratory,very_high,5,late_night,late_night,long_term,1,light,false,false,celebration,1,Rapid Fire,question_game,0.12481,0.715
82,relaxed,low,60,late_night,date_night,just_met,3,light,false,false,easy_connection,16,Watch Together,watch_together,0.46392,0.74
83,affectionate,high,15,evening,special_memory,serious,3,moderate,true,false,warm_connection,21,Compliment Challenge,romantic_activity,0.05219,0.726
84,relaxed,medium,60,morning,reunion,just_met,5,light,false,false,easy_connection,16,Watch Together,watch_together,0.31939,0.715
85,calm,low,45,morning,special_memory,just_met,1,light,false,false,calm_connection,16,Watch Together,watch_together,0.07786,0.74
86,affectionate,very_low,30,afternoon,anniversary,new,4,moderate,true,false,warm_connection,21,Compliment Challenge,romantic_activity,0.0762,0.743
87,celebratory,low,20,evening,special_memory,dating,2,light,false,false,celebration,22,Little Moments,memory,0.06829,0.744
88,sensual,very_low,60,afternoon,birthday,just_met,5,high,true,true,sensual_connection,16,Watch Together,watch_together,0.23762,0.635
89,deep,very_high,45,late_night,long_distance,new,1,light,false,false,deep_connection,10,Memory Lane,memory,0.1263,0.657
90,low_energy,low,5,evening,holiday,long_term,1,light,false,false,gentle_connection,2,This or That,question_game,0.067,0.635
91,celebratory,very_low,15,late_night,celebration,dating,1,light,false,false,celebration,6,Scribble,creative_game,0.07883,0.725
92,calm,very_low,60,late_night,holiday,serious,1,light,false,false,calm_connection,12,Deep Questions,conversation,0.11221,0.635
93,calm,high,45,afternoon,long_distance,new,5,light,false,false,calm_connection,22,Little Moments,memory,0.08958,0.73
94,deep,very_high,60,late_night,reunion,serious,5,light,false,false,deep_connection,10,Memory Lane,memory,0.16036,0.705
95,affectionate,very_low,15,late_night,anniversary,serious,5,moderate,true,false,warm_connection,21,Compliment Challenge,romantic_activity,0.0752,0.835
96,relaxed,medium,5,late_night,holiday,dating,2,light,false,false,easy_connection,2,This or That,question_game,0.07722,0.74
97,calm,medium,15,evening,just_because,long_term,3,light,false,false,calm_connection,10,Memory Lane,memory,0.04839,0.751
98,nostalgic,low,5,afternoon,rough_day,serious,4,moderate,true,false,memory_connection,23,Cozy Conversation,conversation,0.12975,0.848
99,affectionate,high,45,late_night,reunion,just_met,1,moderate,true,false,warm_connection,16,Watch Together,watch_together,0.25993,0.61
100,relaxed,low,15,evening,reunion,long_term,5,light,false,false,easy_connection,22,Little Moments,memory,0.07519,0.86
101,sensual,very_high,15,evening,rough_day,serious,3,high,true,true,sensual_connection,23,Cozy Conversation,conversation,0.09429,0.761
102,affectionate,very_low,45,afternoon,valentines,just_met,5,moderate,true,false,warm_connection,15,Music Mood,watch_together,0.07447,0.555
103,sensual,low,10,afternoon,rough_day,serious,3,high,true,true,sensual_connection,19,Flirty This or That,intimate_activity,0.07635,0.751
104,erotic,very_high,30,evening,first_date,new,3,very_high,true,true,intimate_connection,18,Truth or Dare,romantic_activity,0.12264,0.726
105,romantic,medium,5,afternoon,birthday,just_met,1,moderate,true,false,romantic_connection,4,Tic Tac Toe,competitive_game,0.14052,0.66
106,sensual,low,45,late_night,first_date,just_met,5,high,true,true,sensual_connection,16,Watch Together,watch_together,0.26201,0.66
107,energetic,high,15,afternoon,normal_day,dating,4,light,false,false,high_energy_fun,1,Rapid Fire,question_game,0.06532,0.74
108,playful,high,20,morning,late_night,just_met,2,light,false,false,playful_social,6,Scribble,creative_game,0.10331,0.74
109,celebratory,medium,5,afternoon,first_date,long_term,4,light,false,false,celebration,8,Two Truths and a Lie,question_game,0.09963,0.72
110,erotic,very_high,10,late_night,reunion,serious,3,very_high,true,true,intimate_connection,17,Couple Challenge,challenge,0.07402,0.731
111,relaxed,medium,30,morning,late_night,just_met,2,light,false,false,easy_connection,5,Connect Four,competitive_game,0.0938,0.66
112,deep,very_low,10,afternoon,date_night,long_term,1,light,false,false,deep_connection,13,Future Plans,conversation,0.07292,0.762
113,relaxed,high,45,late_night,birthday,just_met,2,light,false,false,easy_connection,16,Watch Together,watch_together,0.22896,0.69
114,deep,high,5,afternoon,just_because,dating,5,light,false,false,deep_connection,2,This or That,question_game,0.07732,0.695
115,affectionate,high,5,afternoon,celebration,new,3,moderate,true,false,warm_connection,23,Cozy Conversation,conversation,0.09053,0.726
116,playful,very_low,10,evening,late_night,long_term,3,light,false,false,playful_social,8,Two Truths and a Lie,question_game,0.05591,0.69
117,energetic,medium,45,late_night,birthday,long_term,5,light,false,false,high_energy_fun,17,Couple Challenge,challenge,0.11287,0.755
118,playful,very_high,5,late_night,rough_day,dating,5,light,false,false,playful_social,23,Cozy Conversation,conversation,0.09684,0.705
119,playful,low,45,morning,special_memory,dating,5,light,false,false,playful_social,11,Relationship Timeline,memory,0.09511,0.7
120,erotic,low,20,late_night,just_because,dating,2,very_high,true,true,intimate_connection,23,Cozy Conversation,conversation,0.07495,0.764
121,relaxed,high,5,late_night,valentines,serious,3,light,false,false,easy_connection,21,Compliment Challenge,romantic_activity,0.08389,0.706
122,playful,low,15,late_night,rough_day,serious,3,light,false,false,playful_social,22,Little Moments,memory,0.05453,0.756
123,relaxed,very_high,5,late_night,first_date,dating,3,light,false,false,easy_connection,23,Cozy Conversation,conversation,0.1069,0.701
124,erotic,high,60,morning,celebration,long_term,4,very_high,true,true,intimate_connection,19,Flirty This or That,intimate_activity,0.11859,0.683
125,affectionate,very_high,15,late_night,celebration,serious,1,moderate,true,false,warm_connection,1,Rapid Fire,question_game,0.06796,0.695
126,nostalgic,low,15,late_night,just_because,serious,1,moderate,true,false,memory_connection,10,Memory Lane,memory,0.06456,0.752
127,low_energy,very_high,60,afternoon,rough_day,new,3,light,false,false,gentle_connection,15,Music Mood,watch_together,0.14516,0.645
128,nostalgic,high,5,afternoon,holiday,just_met,4,moderate,true,false,memory_connection,6,Scribble,creative_game,0.1139,0.64
129,low_energy,low,20,evening,weekend,dating,4,light,false,false,gentle_connection,22,Little Moments,memory,0.06004,0.788
130,energetic,low,20,afternoon,long_distance,new,5,light,false,false,high_energy_fun,15,Music Mood,watch_together,0.05436,0.72
131,romantic,very_low,15,late_night,valentines,long_term,3,moderate,true,false,romantic_connection,14,Date Planner,date_activity,0.06766,0.786
132,deep,medium,60,late_night,holiday,new,4,light,false,false,deep_connection,14,Date Planner,date_activity,0.08475,0.688
133,calm,medium,30,late_night,reunion,dating,2,light,false,false,calm_connection,11,Relationship Timeline,memory,0.0667,0.719
134,affectionate,very_high,20,afternoon,holiday,serious,1,moderate,true,false,warm_connection,6,Scribble,creative_game,0.07549,0.695
135,energetic,high,20,afternoon,reunion,just_met,2,light,false,false,high_energy_fun,7,Find the Spy,social_game,0.10428,0.74
136,celebratory,medium,60,morning,holiday,serious,1,light,false,false,celebration,24,Date Night Roulette,date_activity,0.12712,0.732
137,energetic,very_low,45,afternoon,long_distance,new,1,light,false,false,high_energy_fun,12,Deep Questions,conversation,0.0972,0.615
138,deep,medium,30,late_night,celebration,just_met,3,light,false,false,deep_connection,5,Connect Four,competitive_game,0.08459,0.66
139,nostalgic,high,15,late_night,holiday,long_term,1,moderate,true,false,memory_connection,10,Memory Lane,memory,0.05628,0.702
140,affectionate,medium,10,morning,long_distance,just_met,1,moderate,true,false,warm_connection,15,Music Mood,watch_together,0.09272,0.695
141,sensual,medium,5,morning,valentines,just_met,3,high,true,true,sensual_connection,2,This or That,question_game,0.17291,0.66
142,relaxed,low,10,late_night,late_night,new,2,light,false,false,easy_connection,23,Cozy Conversation,conversation,0.07908,0.824
143,celebratory,high,30,afternoon,reunion,long_term,2,light,false,false,celebration,24,Date Night Roulette,date_activity,0.09749,0.799
144,low_energy,medium,20,evening,celebration,just_met,4,light,false,false,gentle_connection,5,Connect Four,competitive_game,0.06061,0.66
145,low_energy,very_high,10,morning,reunion,dating,5,light,false,false,gentle_connection,22,Little Moments,memory,0.08074,0.785
146,relaxed,medium,20,evening,anniversary,serious,4,light,false,false,easy_connection,10,Memory Lane,memory,0.07987,0.823
147,relaxed,very_high,15,evening,rough_day,dating,1,light,false,false,easy_connection,10,Memory Lane,memory,0.06426,0.737
148,low_energy,high,15,morning,late_night,just_met,5,light,false,false,gentle_connection,1,Rapid Fire,question_game,0.05731,0.66
149,deep,low,30,evening,anniversary,new,5,light,false,false,deep_connection,11,Relationship Timeline,memory,0.11883,0.86
150,erotic,low,45,morning,just_because,just_met,3,very_high,true,true,intimate_connection,16,Watch Together,watch_together,0.14114,0.66
151,happy,very_high,15,afternoon,first_date,dating,3,light,false,false,positive_social,3,Trivia Battle,competitive_game,0.06572,0.715
152,romantic,low,10,evening,weekend,long_term,3,moderate,true,false,romantic_connection,21,Compliment Challenge,romantic_activity,0.05131,0.776
153,deep,high,60,evening,rough_day,dating,1,light,false,false,deep_connection,23,Cozy Conversation,conversation,0.14216,0.682
154,playful,low,60,afternoon,holiday,serious,5,light,false,false,playful_social,16,Watch Together,watch_together,0.10169,0.66
155,erotic,high,5,evening,weekend,just_met,4,very_high,true,true,intimate_connection,1,Rapid Fire,question_game,0.16122,0.66
156,sensual,medium,30,late_night,holiday,dating,1,high,true,true,sensual_connection,19,Flirty This or That,intimate_activity,0.07563,0.672
157,energetic,very_low,30,evening,just_because,long_term,2,light,false,false,high_energy_fun,14,Date Planner,date_activity,0.0675,0.694
158,low_energy,high,45,evening,celebration,serious,1,light,false,false,gentle_connection,16,Watch Together,watch_together,0.18436,0.69
159,happy,medium,20,morning,first_date,new,5,light,false,false,positive_social,8,Two Truths and a Lie,question_game,0.09693,0.8
160,energetic,medium,45,late_night,late_night,new,4,light,false,false,high_energy_fun,6,Scribble,creative_game,0.07065,0.635
161,energetic,very_high,20,evening,normal_day,dating,2,light,false,false,high_energy_fun,7,Find the Spy,social_game,0.07564,0.715
162,affectionate,medium,5,evening,weekend,dating,1,moderate,true,false,warm_connection,22,Little Moments,memory,0.08757,0.727
163,affectionate,very_low,60,late_night,first_date,new,5,moderate,true,false,warm_connection,8,Two Truths and a Lie,question_game,0.09825,0.59
164,happy,medium,10,afternoon,special_memory,long_term,2,light,false,false,positive_social,10,Memory Lane,memory,0.06436,0.719
165,erotic,very_high,10,afternoon,holiday,new,3,very_high,true,true,intimate_connection,14,Date Planner,date_activity,0.07855,0.706
166,erotic,very_high,5,evening,holiday,new,2,very_high,true,true,intimate_connection,23,Cozy Conversation,conversation,0.09829,0.689
167,erotic,low,5,morning,date_night,just_met,3,very_high,true,true,intimate_connection,2,This or That,question_game,0.09756,0.635
168,affectionate,very_high,15,morning,date_night,dating,1,moderate,true,false,warm_connection,9,How Well Do You Know Me,question_game,0.06442,0.762
169,relaxed,very_high,5,morning,reunion,serious,3,light,false,false,easy_connection,10,Memory Lane,memory,0.08623,0.681
170,playful,high,30,afternoon,late_night,just_met,5,light,false,false,playful_social,3,Trivia Battle,competitive_game,0.12558,0.74
171,low_energy,very_low,5,late_night,holiday,serious,4,light,false,false,gentle_connection,10,Memory Lane,memory,0.05941,0.683
172,energetic,high,5,morning,valentines,long_term,2,light,false,false,high_energy_fun,1,Rapid Fire,question_game,0.09074,0.74
173,deep,very_high,45,evening,long_distance,long_term,5,light,false,false,deep_connection,16,Watch Together,watch_together,0.12888,0.645
174,nostalgic,very_high,20,morning,special_memory,just_met,5,moderate,true,false,memory_connection,3,Trivia Battle,competitive_game,0.06941,0.635
175,affectionate,high,20,afternoon,long_distance,dating,4,moderate,true,false,warm_connection,9,How Well Do You Know Me,question_game,0.0718,0.823
176,sensual,very_low,15,late_night,valentines,dating,3,high,true,true,sensual_connection,21,Compliment Challenge,romantic_activity,0.09034,0.811
177,low_energy,high,5,morning,holiday,just_met,1,light,false,false,gentle_connection,4,Tic Tac Toe,competitive_game,0.11538,0.635
178,sensual,medium,60,afternoon,weekend,just_met,5,high,true,true,sensual_connection,16,Watch Together,watch_together,0.10811,0.635
179,nostalgic,medium,45,morning,long_distance,dating,4,moderate,true,false,memory_connection,20,Romantic Q&A,intimate_activity,0.06807,0.743
180,sensual,very_low,15,evening,valentines,just_met,5,high,true,true,sensual_connection,12,Deep Questions,conversation,0.12013,0.635
181,romantic,high,10,morning,valentines,long_term,3,moderate,true,false,romantic_connection,18,Truth or Dare,romantic_activity,0.07588,0.811
182,deep,very_high,10,late_night,holiday,long_term,5,light,false,false,deep_connection,12,Deep Questions,conversation,0.05955,0.665
183,low_energy,very_high,5,evening,normal_day,new,3,light,false,false,gentle_connection,1,Rapid Fire,question_game,0.0777,0.635
184,deep,medium,15,morning,date_night,new,5,light,false,false,deep_connection,18,Truth or Dare,romantic_activity,0.0526,0.78
185,playful,low,45,morning,first_date,long_term,2,light,false,false,playful_social,2,This or That,question_game,0.15164,0.695
186,energetic,medium,10,evening,birthday,dating,5,light,false,false,high_energy_fun,6,Scribble,creative_game,0.07333,0.775
187,happy,low,10,morning,celebration,just_met,3,light,false,false,positive_social,6,Scribble,creative_game,0.10889,0.75
188,relaxed,high,30,late_night,long_distance,dating,2,light,false,false,easy_connection,10,Memory Lane,memory,0.06554,0.694
189,playful,medium,20,morning,birthday,long_term,4,light,false,false,playful_social,17,Couple Challenge,challenge,0.06836,0.823
190,deep,very_low,10,late_night,late_night,just_met,1,light,false,false,deep_connection,12,Deep Questions,conversation,0.13371,0.715
191,affectionate,low,60,evening,birthday,dating,1,moderate,true,false,warm_connection,16,Watch Together,watch_together,0.17493,0.66
192,sensual,high,10,afternoon,long_distance,long_term,2,high,true,true,sensual_connection,25,Playful Teasing Cards,intimate_activity,0.07954,0.739
193,low_energy,medium,5,late_night,holiday,just_met,4,light,false,false,gentle_connection,2,This or That,question_game,0.10582,0.66
194,playful,medium,30,late_night,late_night,serious,4,light,false,false,playful_social,3,Trivia Battle,competitive_game,0.0644,0.715
195,relaxed,very_low,15,afternoon,special_memory,long_term,4,light,false,false,easy_connection,23,Cozy Conversation,conversation,0.0603,0.763
196,calm,very_low,20,morning,anniversary,serious,5,light,false,false,calm_connection,22,Little Moments,memory,0.08128,0.835
197,playful,high,60,evening,rough_day,dating,2,light,false,false,playful_social,1,Rapid Fire,question_game,0.08306,0.66
198,romantic,very_low,30,morning,weekend,long_term,2,moderate,true,false,romantic_connection,6,Scribble,creative_game,0.06331,0.645
199,calm,medium,45,afternoon,anniversary,just_met,2,light,false,false,calm_connection,16,Watch Together,watch_together,0.2252,0.715
200,romantic,very_high,10,morning,date_night,serious,4,moderate,true,false,romantic_connection,20,Romantic Q&A,intimate_activity,0.06825,0.773
201,erotic,very_high,20,evening,holiday,dating,2,very_high,true,true,intimate_connection,20,Romantic Q&A,intimate_activity,0.08262,0.689
202,energetic,high,45,evening,special_memory,dating,5,light,false,false,high_energy_fun,3,Trivia Battle,competitive_game,0.08942,0.66
203,nostalgic,very_low,15,late_night,reunion,just_met,1,moderate,true,false,memory_connection,12,Deep Questions,conversation,0.09573,0.635
204,deep,very_low,45,morning,late_night,long_term,5,light,false,false,deep_connection,23,Cozy Conversation,conversation,0.11503,0.755
205,celebratory,very_high,60,morning,reunion,long_term,2,light,false,false,celebration,18,Truth or Dare,romantic_activity,0.12473,0.694
206,energetic,very_high,10,morning,reunion,just_met,3,light,false,false,high_energy_fun,4,Tic Tac Toe,competitive_game,0.08794,0.69
207,playful,very_high,45,afternoon,normal_day,new,4,light,false,false,playful_social,8,Two Truths and a Lie,question_game,0.10282,0.61
208,nostalgic,very_high,30,afternoon,valentines,dating,3,moderate,true,false,memory_connection,11,Relationship Timeline,memory,0.08603,0.701
209,erotic,medium,45,morning,special_memory,dating,1,very_high,true,true,intimate_connection,19,Flirty This or That,intimate_activity,0.10237,0.672
210,nostalgic,high,15,evening,rough_day,long_term,2,moderate,true,false,memory_connection,10,Memory Lane,memory,0.07416,0.774
211,celebratory,low,15,evening,celebration,serious,2,light,false,false,celebration,1,Rapid Fire,question_game,0.06265,0.75
212,playful,medium,30,late_night,celebration,dating,2,light,false,false,playful_social,17,Couple Challenge,challenge,0.072,0.719
213,sensual,very_high,5,late_night,weekend,dating,1,high,true,true,sensual_connection,25,Playful Teasing Cards,intimate_activity,0.13842,0.702
214,romantic,low,15,late_night,anniversary,new,2,moderate,true,false,romantic_connection,10,Memory Lane,memory,0.07511,0.824
215,deep,very_low,30,morning,celebration,dating,5,light,false,false,deep_connection,12,Deep Questions,conversation,0.0959,0.715
216,relaxed,low,10,afternoon,holiday,long_term,2,light,false,false,easy_connection,10,Memory Lane,memory,0.05576,0.764
217,happy,high,15,afternoon,reunion,long_term,3,light,false,false,positive_social,8,Two Truths and a Lie,question_game,0.05166,0.715
218,erotic,high,10,afternoon,birthday,serious,2,very_high,true,true,intimate_connection,25,Playful Teasing Cards,intimate_activity,0.08272,0.739
219,celebratory,high,20,evening,special_memory,serious,5,light,false,false,celebration,11,Relationship Timeline,memory,0.06251,0.73
220,romantic,low,60,afternoon,holiday,dating,1,moderate,true,false,romantic_connection,24,Date Night Roulette,date_activity,0.13636,0.707
221,calm,very_high,5,morning,birthday,just_met,2,light,false,false,calm_connection,1,Rapid Fire,question_game,0.18667,0.695
222,nostalgic,low,60,late_night,first_date,new,4,moderate,true,false,memory_connection,12,Deep Questions,conversation,0.09972,0.64
223,happy,high,5,late_night,weekend,dating,2,light,false,false,positive_social,17,Couple Challenge,challenge,0.08466,0.744
224,playful,medium,10,morning,valentines,just_met,3,light,false,false,playful_social,6,Scribble,creative_game,0.08014,0.715
225,romantic,very_low,15,late_night,rough_day,new,4,moderate,true,false,romantic_connection,10,Memory Lane,memory,0.06671,0.823
226,happy,very_low,5,evening,anniversary,new,5,light,false,false,positive_social,1,Rapid Fire,question_game,0.07135,0.665
227,celebratory,very_high,20,morning,special_memory,dating,2,light,false,false,celebration,10,Memory Lane,memory,0.06513,0.669
228,happy,low,20,late_night,first_date,just_met,4,light,false,false,positive_social,2,This or That,question_game,0.09911,0.695
